"NodeKey","BpRole","EmailAddress","PhoneNumber","FaxNumber","AddressGuid","BpId","CompanyName","LegalForm","CreatedAt","ChangedAt","CurrencyCode","Change_Type","Change_Date"
"42010AA400041EED8CF393A96D2D76BA","02","supplier-info@officeline.test.com","39947387923","39947387004","42010AA400041EED8CF393A96D2876BA","0100000010","Office Line Prag","s.r.o.","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2D96BA","02","supplier-info@depot4all.test.com","13602463585","13602463004","42010AA400041EED8CF393A96D28D6BA","0100000011","Depot-4All","GmbH","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2DB6BA","02","supplier-info@iteloffice.test.com","57319154389","57319154004","42010AA400041EED8CF393A96D2936BA","0100000012","ITeL-Office","GbR","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2DD6BA","02","supplier-info@famousus.test.com","4612001085","4612001004","42010AA400041EED8CF393A96D2996BA","0100000013","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2DF6BA","02","supplier-info@chinachain.test.com","55486454300","55486454004","42010AA400041EED8CF393A96D29F6BA","0100000014","ChinaChain","WFOE","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2E16BA","02","supplier-info@famousus1.test.com","55486454400","55486454004","42010AA400041EED8CF393A96D2A56BA","0100000015","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2E36BA","02","supplier-info@famousus2.test.com","55486454500","55486454004","42010AA400041EED8CF393A96D2AB6BA","0100000016","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2E56BA","02","supplier-info@famousus3.test.com","55486454600","55486454004","42010AA400041EED8CF393A96D2B16BA","0100000017","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2E76BA","02","supplier-info@famousus4.test.com","55486454700","55486454004","42010AA400041EED8CF393A96D2B76BA","0100000018","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
"42010AA400041EED8CF393A96D2E96BA","02","supplier-info@famousus5.test.com","55486454800","55486454004","42010AA400041EED8CF393A96D2BD6BA","0100000019","FamousUS","Ltd","2022-09-13 19:45:26.000000000","2022-09-13 19:45:26.000000000","USD","L","2023-11-03 04:08:23.231000000"
